,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
9605,5940.0,177.0,0.0,0.0,6780.0,6910.0,0.0,2110.0,250.0,0.0,9590.0,9280.0,2840.0,11300.0
9606,6520.0,261.0,0.0,0.0,6780.0,6870.0,0.0,1300.0,452.0,0.0,8940.0,9190.0,1400.0,9910.0
9607,7430.0,360.0,0.0,0.0,10200.0,8970.0,0.0,1910.0,1190.0,0.0,11600.0,11600.0,1060.0,13500.0
9608,9200.0,2000.0,0.0,0.0,14000.0,13100.0,0.0,7190.0,739.0,0.0,20000.0,20100.0,5020.0,24700.0
9609,13800.0,2530.0,0.0,0.0,18300.0,14800.0,0.0,6010.0,813.0,0.0,22400.0,24200.0,7980.0,33300.0
9610,4350.0,721.0,0.0,0.0,8240.0,8470.0,0.0,5730.0,1630.0,0.0,17700.0,19700.0,3830.0,23600.0
9611,6420.0,1120.0,0.0,0.0,10200.0,8070.0,0.0,1670.0,263.0,0.0,10500.0,10700.0,568.0,10000.0
9612,11400.0,1270.0,0.0,0.0,16700.0,13100.0,0.0,20300.0,879.0,0.0,37700.0,40200.0,9100.0,49700.0
9613,6770.0,709.0,0.0,7300.0,7180.0,6830.0,0.0,1850.0,221.0,0.0,9450.0,9740.0,2860.0,12600.0
9614,7910.0,268.0,0.0,0.0,7770.0,7030.0,0.0,1280.0,609.0,0.0,8840.0,9060.0,769.0,10400.0
9615,3880.0,649.0,0.0,0.0,6190.0,6360.0,0.0,8260.0,2070.0,0.0,16000.0,17200.0,2120.0,19200.0
9616,7470.0,1260.0,0.0,0.0,13000.0,14300.0,0.0,5040.0,1920.0,0.0,21500.0,21600.0,5160.0,24600.0
9617,7450.0,371.0,0.0,0.0,8430.0,7840.0,0.0,1890.0,783.0,0.0,11000.0,11300.0,821.0,12300.0
9618,9480.0,880.0,0.0,0.0,18400.0,16200.0,0.0,4550.0,2550.0,0.0,21100.0,21200.0,2590.0,24000.0
9619,7420.0,286.0,0.0,0.0,7110.0,6990.0,0.0,1260.0,207.0,0.0,8870.0,9060.0,748.0,10200.0
9620,6610.0,265.0,0.0,0.0,7230.0,6870.0,0.0,1180.0,750.0,0.0,8490.0,8530.0,309.0,9790.0
9621,13200.0,1260.0,0.0,0.0,17800.0,16000.0,0.0,22700.0,663.0,0.0,39500.0,38300.0,15300.0,52400.0
9622,7280.0,175.0,0.0,0.0,6680.0,6950.0,0.0,2060.0,475.0,0.0,9860.0,9530.0,2960.0,12900.0
9623,7100.0,1970.0,0.0,0.0,12400.0,10100.0,0.0,6410.0,4300.0,0.0,21000.0,21300.0,4790.0,25500.0
9624,7460.0,295.0,0.0,0.0,7770.0,6990.0,0.0,1270.0,242.0,0.0,8750.0,8930.0,780.0,10500.0
9625,19400.0,2120.0,0.0,22000.0,20200.0,17600.0,0.0,20400.0,620.0,0.0,40400.0,37000.0,26300.0,57800.0
9626,6160.0,1210.0,0.0,0.0,7150.0,7580.0,0.0,9060.0,1550.0,0.0,17100.0,17300.0,4090.0,20800.0
9627,6190.0,178.0,0.0,0.0,6800.0,6990.0,0.0,1420.0,397.0,0.0,8910.0,9180.0,1570.0,9930.0
9628,0.0,260.0,0.0,0.0,7530.0,6930.0,0.0,1310.0,511.0,0.0,8610.0,9050.0,933.0,9920.0
9629,3920.0,183.0,0.0,0.0,6940.0,7000.0,0.0,1290.0,216.0,0.0,8550.0,8790.0,1410.0,10400.0
9630,12300.0,436.0,0.0,0.0,11800.0,13900.0,0.0,3490.0,504.0,0.0,18300.0,19000.0,2050.0,21300.0
9631,5600.0,441.0,0.0,0.0,7620.0,7260.0,0.0,2720.0,1120.0,0.0,10800.0,11700.0,1010.0,12800.0
